title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
FIR against MSRTC official for harassing woman,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': 'FIR against MSRTC official for harassing woman'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/msrtc-official-accused-of-sexual-harassment-fir-filed-against-deputy-general-manager/articleshow/113945665.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113945665,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/msrtc-official-accused-of-sexual-harassment-fir-filed-against-deputy-general-manager/articleshow/113945665.cms,https://timesofindia.indiatimes.com/city/mumbai/msrtc-official-accused-of-sexual-harassment-fir-filed-against-deputy-general-manager/articleshow/113945665.cms,False,2024-10-04T20:42:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=12, tm_sec=40, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
"Now, welfare corporations for more communities in poll-bound Maharashtra","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': 'Now, welfare corporations for more communities in poll-bound Maharashtra'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-forms-new-welfare-corporations-ahead-of-elections-to-support-communities/articleshow/113945602.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113945602,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-forms-new-welfare-corporations-ahead-of-elections-to-support-communities/articleshow/113945602.cms,https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-forms-new-welfare-corporations-ahead-of-elections-to-support-communities/articleshow/113945602.cms,False,2024-10-04T20:39:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=9, tm_sec=40, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
Part of Malad’s Mith Chowky flyover to open to motorists tomorrow,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': 'Part of Malad’s Mith Chowky flyover to open to motorists tomorrow'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/mith-chowky-flyover-in-malad-set-to-open-amid-traffic-concerns/articleshow/113945530.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113945530,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/mith-chowky-flyover-in-malad-set-to-open-amid-traffic-concerns/articleshow/113945530.cms,https://timesofindia.indiatimes.com/city/mumbai/mith-chowky-flyover-in-malad-set-to-open-amid-traffic-concerns/articleshow/113945530.cms,False,2024-10-04T20:36:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=6, tm_sec=40, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
Co sends 1.6cr dues notice for CM-led team’s Davos stay,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': 'Co sends 1.6cr dues notice for CM-led team’s Davos stay'}","<a href=""https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-faces-16-crore-dues-over-davos-trip-expenses/articleshow/113945340.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113945340.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-faces-16-crore-dues-over-davos-trip-expenses/articleshow/113945340.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113945340.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-faces-16-crore-dues-over-davos-trip-expenses/articleshow/113945340.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113945339,imgsize-60194.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-faces-16-crore-dues-over-davos-trip-expenses/articleshow/113945340.cms,https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-faces-16-crore-dues-over-davos-trip-expenses/articleshow/113945340.cms,False,2024-10-04T20:27:49+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=57, tm_sec=49, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Chaitanya Marpakwar'}],Chaitanya Marpakwar,{'name': 'Chaitanya Marpakwar'},Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
Maha govt to consider reducing minimum number of students requirement,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': 'Maha govt to consider reducing minimum number of students requirement'}","<a href=""https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-plans-to-reduce-minimum-school-enrollment-requirements-to-prevent-closures/articleshow/113945263.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113945263.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-plans-to-reduce-minimum-school-enrollment-requirements-to-prevent-closures/articleshow/113945263.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113945263.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-plans-to-reduce-minimum-school-enrollment-requirements-to-prevent-closures/articleshow/113945263.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113945261,imgsize-51956.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-plans-to-reduce-minimum-school-enrollment-requirements-to-prevent-closures/articleshow/113945263.cms,https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-plans-to-reduce-minimum-school-enrollment-requirements-to-prevent-closures/articleshow/113945263.cms,False,2024-10-04T20:24:42+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=54, tm_sec=42, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
Teachers’ union seeks exemption from poll duty during Diwali vacation,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': 'Teachers’ union seeks exemption from poll duty during Diwali vacation'}","<a href=""https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-exemption-from-poll-duty-amid-diwali-break/articleshow/113945153.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113945153.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-exemption-from-poll-duty-amid-diwali-break/articleshow/113945153.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113945153.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-exemption-from-poll-duty-amid-diwali-break/articleshow/113945153.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113945151,imgsize-68914.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-exemption-from-poll-duty-amid-diwali-break/articleshow/113945153.cms,https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-exemption-from-poll-duty-amid-diwali-break/articleshow/113945153.cms,False,2024-10-04T20:18:39+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=48, tm_sec=39, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
Teachers’ union seek exemption from poll duty during Diwali vacation,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': 'Teachers’ union seek exemption from poll duty during Diwali vacation'}","<a href=""https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-poll-duty-exemption-during-diwali-vacation-amid-election-tensions/articleshow/113945049.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113945049.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-poll-duty-exemption-during-diwali-vacation-amid-election-tensions/articleshow/113945049.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113945049.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-poll-duty-exemption-during-diwali-vacation-amid-election-tensions/articleshow/113945049.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113945048,imgsize-68914.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-poll-duty-exemption-during-diwali-vacation-amid-election-tensions/articleshow/113945049.cms,https://timesofindia.indiatimes.com/city/mumbai/teachers-union-demands-poll-duty-exemption-during-diwali-vacation-amid-election-tensions/articleshow/113945049.cms,False,2024-10-04T20:15:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=45, tm_sec=41, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
"Woman files gangrape plaint, then goes missing","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': 'Woman files gangrape plaint, then goes missing'}","<a href=""https://timesofindia.indiatimes.com/city/mumbai/mumbai-woman-files-gangrape-complaint-mysteriously-goes-missing/articleshow/113944812.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113944812.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/mumbai/mumbai-woman-files-gangrape-complaint-mysteriously-goes-missing/articleshow/113944812.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113944812.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/mumbai-woman-files-gangrape-complaint-mysteriously-goes-missing/articleshow/113944812.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113944810,imgsize-9956.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/mumbai-woman-files-gangrape-complaint-mysteriously-goes-missing/articleshow/113944812.cms,https://timesofindia.indiatimes.com/city/mumbai/mumbai-woman-files-gangrape-complaint-mysteriously-goes-missing/articleshow/113944812.cms,False,2024-10-04T20:00:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=30, tm_sec=41, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
Relief for Kangana Ranaut as Bombay high court disposes of petition on 'Emergency' release,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': ""Relief for Kangana Ranaut as Bombay high court disposes of petition on 'Emergency' release""}","<a href=""https://timesofindia.indiatimes.com/city/mumbai/bombay-hc-disposes-off-petition-on-release-of-kangana-starer-emergency-after-producers-cbfc-work-out-issues/articleshow/113936660.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113936660.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Bombay High Court resolved a dispute between Zee Entertainment and the CBFC regarding the film ""Emergency."" The CBFC required 13 changes to issue a UA certificate, and Zee confirmed compliance. The court allowed 30 days for modifications, followed by 14 days for CBFC verification. The film, starring Kangana Ranaut, attracted Sikh group protests.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/mumbai/bombay-hc-disposes-off-petition-on-release-of-kangana-starer-emergency-after-producers-cbfc-work-out-issues/articleshow/113936660.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113936660.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Bombay High Court resolved a dispute between Zee Entertainment and the CBFC regarding the film ""Emergency."" The CBFC required 13 changes to issue a UA certificate, and Zee confirmed compliance. The court allowed 30 days for modifications, followed by 14 days for CBFC verification. The film, starring Kangana Ranaut, attracted Sikh group protests.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/bombay-hc-disposes-off-petition-on-release-of-kangana-starer-emergency-after-producers-cbfc-work-out-issues/articleshow/113936660.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113937749,imgsize-1258193.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/bombay-hc-disposes-off-petition-on-release-of-kangana-starer-emergency-after-producers-cbfc-work-out-issues/articleshow/113936660.cms,https://timesofindia.indiatimes.com/city/mumbai/bombay-hc-disposes-off-petition-on-release-of-kangana-starer-emergency-after-producers-cbfc-work-out-issues/articleshow/113936660.cms,False,2024-10-04T15:38:28+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=10, tm_min=8, tm_sec=28, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Swati Deshpande'}],Swati Deshpande,{'name': 'Swati Deshpande'},Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
'Nitin Gadkari not hesitant to speak if something is wrong': Sharad Pawar,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': ""'Nitin Gadkari not hesitant to speak if something is wrong': Sharad Pawar""}","<a href=""https://timesofindia.indiatimes.com/city/mumbai/gadkari-not-hesitant-to-speak-if-something-wrong-ncp-scp-chief-sharad-pawar/articleshow/113934108.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113934108.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Sharad Pawar commends Union Minister Nitin Gadkari for openly criticizing populist government schemes when necessary, even if it contradicts party lines. Pawar highlights Gadkari's commitment to infrastructural development, specifically road construction, which prioritizes national interest over party politics, leading to significant progress in Maharashtra and across India.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/mumbai/gadkari-not-hesitant-to-speak-if-something-wrong-ncp-scp-chief-sharad-pawar/articleshow/113934108.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113934108.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Sharad Pawar commends Union Minister Nitin Gadkari for openly criticizing populist government schemes when necessary, even if it contradicts party lines. Pawar highlights Gadkari\'s commitment to infrastructural development, specifically road construction, which prioritizes national interest over party politics, leading to significant progress in Maharashtra and across India.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/gadkari-not-hesitant-to-speak-if-something-wrong-ncp-scp-chief-sharad-pawar/articleshow/113934108.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113934108,imgsize-1024963.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/gadkari-not-hesitant-to-speak-if-something-wrong-ncp-scp-chief-sharad-pawar/articleshow/113934108.cms,https://timesofindia.indiatimes.com/city/mumbai/gadkari-not-hesitant-to-speak-if-something-wrong-ncp-scp-chief-sharad-pawar/articleshow/113934108.cms,False,2024-10-04T14:15:26+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=8, tm_min=45, tm_sec=26, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI City Desk'}],TOI City Desk,{'name': 'TOI City Desk'},Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
"Watch: Maharashtra deputy speaker, MP, MLAs jump off 3rd floor of Mantralaya building","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': 'Watch: Maharashtra deputy speaker, MP, MLAs jump off 3rd floor of Mantralaya building'}","<a href=""https://timesofindia.indiatimes.com/city/mumbai/maharashtra-deputy-speaker-jumps-off-3rd-floor-of-mantralaya-building/articleshow/113932625.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113932625.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Tribal MLAs, including Deputy Speaker Narhari Zirwal, protested in Mantralaya against the suspension of Scheduled Tribe candidate appointments under PESA and the inclusion of Dhangars in the ST list. They demanded immediate recruitment and opposed the government's lack of response. CM Eknath Shinde plans to meet the MLAs to address their concerns.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128838597.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/mumbai/maharashtra-deputy-speaker-jumps-off-3rd-floor-of-mantralaya-building/articleshow/113932625.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113932625.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Tribal MLAs, including Deputy Speaker Narhari Zirwal, protested in Mantralaya against the suspension of Scheduled Tribe candidate appointments under PESA and the inclusion of Dhangars in the ST list. They demanded immediate recruitment and opposed the government\'s lack of response. CM Eknath Shinde plans to meet the MLAs to address their concerns.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/maharashtra-deputy-speaker-jumps-off-3rd-floor-of-mantralaya-building/articleshow/113932625.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113932821,imgsize-5151310.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/maharashtra-deputy-speaker-jumps-off-3rd-floor-of-mantralaya-building/articleshow/113932625.cms,https://timesofindia.indiatimes.com/city/mumbai/maharashtra-deputy-speaker-jumps-off-3rd-floor-of-mantralaya-building/articleshow/113932625.cms,False,2024-10-04T13:31:36+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=8, tm_min=1, tm_sec=36, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Chaitanya Marpakwar'}],Chaitanya Marpakwar,{'name': 'Chaitanya Marpakwar'},Times of India,Mumbai,,,,2024-10-04 11:13:14.789969
