title,title_detail_type,title_detail_language,title_detail_base,title_detail_value,summary,summary_detail_type,summary_detail_language,summary_detail_base,summary_detail_value,links_0_rel,links_0_type,links_0_href,link,id,guidislink,authors_0_name,author,author_detail_name,published,published_parsed,media_content_0_medium,media_content_0_url,Feed,FeedName,Section,Language,Twitter_URL,FB_URL,FetchTime
"Who is Shailaja Paik, the Dalit scholar who was awarded Rs 67 lakh MacArthur 'genius' grant?",text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"Who is Shailaja Paik, the Dalit scholar who was awarded Rs 67 lakh MacArthur 'genius' grant?","<div><img src=""https://images.firstpost.com/uploads/2024/10/macarthur-shailaja-2024-10-55dddc41cc738605d78e539432caa3f4.jpg?im=FitAndFill=(1200,675)"" style=""width: 100%;"" /><div>India-born historian and author Shailaja Paik became the first Dalit scholar to be awarded the coveted MacArthur Fellowship, often called the ‘genius grant.’ The 50-year-old history professor recognised for her pioneering work in Dalit studies, gender, and sexuality in modern India, will receive an impressive $800,000 (approximately Rs 67 lakh) to support her ongoing research</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://images.firstpost.com/uploads/2024/10/macarthur-shailaja-2024-10-55dddc41cc738605d78e539432caa3f4.jpg?im=FitAndFill=(1200,675)"" style=""width: 100%;"" /><div>India-born historian and author Shailaja Paik became the first Dalit scholar to be awarded the coveted MacArthur Fellowship, often called the ‘genius grant.’ The 50-year-old history professor recognised for her pioneering work in Dalit studies, gender, and sexuality in modern India, will receive an impressive $800,000 (approximately Rs 67 lakh) to support her ongoing research</div></div>",alternate,text/html,https://www.firstpost.com/explainers/who-is-shailaja-paik-the-dalit-scholar-who-is-awarded-rs-67-lakh-macarthur-genius-grant-13822044.html,https://www.firstpost.com/explainers/who-is-shailaja-paik-the-dalit-scholar-who-is-awarded-rs-67-lakh-macarthur-genius-grant-13822044.html,c574e67fff26f2754da71d64a4d3257a,False,FP Explainers,FP Explainers,FP Explainers,"Fri, 04 Oct 2024 12:17:27 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=12, tm_min=17, tm_sec=27, tm_wday=4, tm_yday=278, tm_isdst=0)",image,"https://images.firstpost.com/uploads/2024/10/macarthur-shailaja-2024-10-55dddc41cc738605d78e539432caa3f4.jpg?im=FitAndFill=(1200,675)",https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
Amethi Dalit family murder: Opposition slams Yogi Adityanath government over law and order situation,text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Amethi Dalit family murder: Opposition slams Yogi Adityanath government over law and order situation,"<div><img src=""https://images.deccanherald.com/deccanherald%2F2024-10-04%2Fjwhmhz0x%2Ffile7xgcb1akrlv86089la3.jpg?rect=0%2C0%2C482%2C253&amp;w=1200&amp;ar=40%3A21&amp;auto=format%2Ccompress&amp;ogImage=true&amp;mode=crop"" style=""width: 100%;"" /></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://images.deccanherald.com/deccanherald%2F2024-10-04%2Fjwhmhz0x%2Ffile7xgcb1akrlv86089la3.jpg?rect=0%2C0%2C482%2C253&amp;w=1200&amp;ar=40%3A21&amp;auto=format%2Ccompress&amp;ogImage=true&amp;mode=crop"" style=""width: 100%;"" /></div>",alternate,text/html,https://www.deccanherald.com/india/uttar-pradesh/amethi-dalit-family-murder-opposition-slams-yogi-adityanath-government-over-law-and-order-situation-3219749,https://www.deccanherald.com/india/uttar-pradesh/amethi-dalit-family-murder-opposition-slams-yogi-adityanath-government-over-law-and-order-situation-3219749,3717af286ffa23b1b3c620e8f9948370,False,PTI,PTI,PTI,"Fri, 04 Oct 2024 12:12:11 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=12, tm_min=12, tm_sec=11, tm_wday=4, tm_yday=278, tm_isdst=0)",image,https://images.deccanherald.com/deccanherald%2F2024-10-04%2Fjwhmhz0x%2Ffile7xgcb1akrlv86089la3.jpg?rect=0%2C0%2C482%2C253&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
Amethi Dalit murder: Opposition slams Yogi govt over law and order situation,text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Amethi Dalit murder: Opposition slams Yogi govt over law and order situation,"<div><img src=""https://cdn.siasat.com/wp-content/uploads/2024/06/Untitled-design-10-3.jpg"" style=""width: 100%;"" /><div>Lucknow: Opposition leaders in Uttar Pradesh on Friday, October 4 attacked the BJP-led state government over the law and order situation in the state,</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://cdn.siasat.com/wp-content/uploads/2024/06/Untitled-design-10-3.jpg"" style=""width: 100%;"" /><div>Lucknow: Opposition leaders in Uttar Pradesh on Friday, October 4 attacked the BJP-led state government over the law and order situation in the state,</div></div>",alternate,text/html,https://www.siasat.com/amethi-dalit-murder-opposition-slams-yogi-govt-over-law-and-order-situation-3107524/,https://www.siasat.com/amethi-dalit-murder-opposition-slams-yogi-govt-over-law-and-order-situation-3107524/,ee5b85c8f7748c9aed8e5f4a96e43b44,False,Press Trust of India,Press Trust of India,Press Trust of India,"Fri, 04 Oct 2024 10:45:57 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=10, tm_min=45, tm_sec=57, tm_wday=4, tm_yday=278, tm_isdst=0)",image,https://cdn.siasat.com/wp-content/uploads/2024/06/Untitled-design-10-3.jpg,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
"Amethi killings: Dalit man reaches Rae Bareli with bodies, speaks to Rahul on phone",text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"Amethi killings: Dalit man reaches Rae Bareli with bodies, speaks to Rahul on phone","<div><img src=""https://images.deccanherald.com/deccanherald%2F2024-10-04%2F8o0yr4zi%2FScreenshot-2.png?rect=0%2C27%2C1440%2C756&amp;w=1200&amp;ar=40%3A21&amp;auto=format%2Ccompress&amp;ogImage=true&amp;mode=crop"" style=""width: 100%;"" /></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://images.deccanherald.com/deccanherald%2F2024-10-04%2F8o0yr4zi%2FScreenshot-2.png?rect=0%2C27%2C1440%2C756&amp;w=1200&amp;ar=40%3A21&amp;auto=format%2Ccompress&amp;ogImage=true&amp;mode=crop"" style=""width: 100%;"" /></div>",alternate,text/html,https://www.deccanherald.com/india/uttar-pradesh/amethi-killings-dalit-man-reaches-rae-bareli-with-bodies-speaks-to-rahul-on-phone-3219490,https://www.deccanherald.com/india/uttar-pradesh/amethi-killings-dalit-man-reaches-rae-bareli-with-bodies-speaks-to-rahul-on-phone-3219490,5fe0cc8ced1a60aae77b3ec127d7c6f5,False,PTI,PTI,PTI,"Fri, 04 Oct 2024 09:49:13 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=9, tm_min=49, tm_sec=13, tm_wday=4, tm_yday=278, tm_isdst=0)",image,https://images.deccanherald.com/deccanherald%2F2024-10-04%2F8o0yr4zi%2FScreenshot-2.png?rect=0%2C27%2C1440%2C756&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
"Tanwar asks Dalits, backward classes to ensure big mandate for Congress in Haryana",text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"Tanwar asks Dalits, backward classes to ensure big mandate for Congress in Haryana","<div><img src=""https://th-i.thgim.com/public/incoming/afzeny/article68717309.ece/alternates/LANDSCAPE_1200/PTI10_5_2019_000168B.jpg"" style=""width: 100%;"" /><div>Former MP Ashok Tanwar returns to Congress, urges Haryana to vote for party in Assembly polls for national message.</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://th-i.thgim.com/public/incoming/afzeny/article68717309.ece/alternates/LANDSCAPE_1200/PTI10_5_2019_000168B.jpg"" style=""width: 100%;"" /><div>Former MP Ashok Tanwar returns to Congress, urges Haryana to vote for party in Assembly polls for national message.</div></div>",alternate,text/html,https://www.thehindu.com/elections/haryana-assembly/tanwar-asks-dalits-backward-classes-to-ensure-big-mandate-for-congress-in-haryana/article68717269.ece,https://www.thehindu.com/elections/haryana-assembly/tanwar-asks-dalits-backward-classes-to-ensure-big-mandate-for-congress-in-haryana/article68717269.ece,98ef99014e41c4adf2f9e289d0e98139,False,The Hindu,The Hindu,The Hindu,"Fri, 04 Oct 2024 09:22:24 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=9, tm_min=22, tm_sec=24, tm_wday=4, tm_yday=278, tm_isdst=0)",image,https://th-i.thgim.com/public/incoming/afzeny/article68717309.ece/alternates/LANDSCAPE_1200/PTI10_5_2019_000168B.jpg,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
"Amethi Horror: Rahul Gandhi Speaks To Dalit Man Whose Son, Daughter-In-Law & 2 Granddaughters Were Shot Dead By Unknown Men; (Video)",text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"Amethi Horror: Rahul Gandhi Speaks To Dalit Man Whose Son, Daughter-In-Law & 2 Granddaughters Were Shot Dead By Unknown Men; (Video)","<div><img src=""https://media.assettype.com/freepressjournal/2024-10-04/7vxlirz7/Hero-Image-2024-10-04T144539.651.jpg"" style=""width: 100%;"" /><div>Amethi MP Kishori Lal, who came to Rae Bareli at Gandhi's behest, arranged the phone call, which lasted about three minutes according to visuals.</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://media.assettype.com/freepressjournal/2024-10-04/7vxlirz7/Hero-Image-2024-10-04T144539.651.jpg"" style=""width: 100%;"" /><div>Amethi MP Kishori Lal, who came to Rae Bareli at Gandhi's behest, arranged the phone call, which lasted about three minutes according to visuals.</div></div>",alternate,text/html,https://www.freepressjournal.in/india/amethi-horror-rahul-gandhi-speaks-to-dalit-man-whose-son-daughter-in-law-2-granddaughters-were-shot-dead-by-unknown-men-video,https://www.freepressjournal.in/india/amethi-horror-rahul-gandhi-speaks-to-dalit-man-whose-son-daughter-in-law-2-granddaughters-were-shot-dead-by-unknown-men-video,d3aaf0a2eb4eba81c1c93647a4182a89,False,PTI,PTI,PTI,"Fri, 04 Oct 2024 09:19:00 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=9, tm_min=19, tm_sec=0, tm_wday=4, tm_yday=278, tm_isdst=0)",image,https://media.assettype.com/freepressjournal/2024-10-04/7vxlirz7/Hero-Image-2024-10-04T144539.651.jpg,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
Amethi Dalit family's chilling murder: Father says son's killer must suffer same fate,text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Amethi Dalit family's chilling murder: Father says son's killer must suffer same fate,"<div><img src=""https://www.hindustantimes.com/ht-img/img/2024/10/04/1600x900/amethi_1728030332135_1728030349133.jfif"" style=""width: 100%;"" /><div>A government school teacher, his wife and two kids were shot dead in their home by an unknown shooter in Uttar Pradesh's Amethi on Thursday.</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://www.hindustantimes.com/ht-img/img/2024/10/04/1600x900/amethi_1728030332135_1728030349133.jfif"" style=""width: 100%;"" /><div>A government school teacher, his wife and two kids were shot dead in their home by an unknown shooter in Uttar Pradesh's Amethi on Thursday.</div></div>",alternate,text/html,https://www.hindustantimes.com/india-news/amethi-dalit-familys-chilling-murder-father-says-sons-killer-must-suffer-same-fate-101728024088868.html,https://www.hindustantimes.com/india-news/amethi-dalit-familys-chilling-murder-father-says-sons-killer-must-suffer-same-fate-101728024088868.html,b07c0d2d06930079135699a060992011,False,HT News Desk,HT News Desk,HT News Desk,"Fri, 04 Oct 2024 08:37:15 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=8, tm_min=37, tm_sec=15, tm_wday=4, tm_yday=278, tm_isdst=0)",image,https://www.hindustantimes.com/ht-img/img/2024/10/04/1600x900/amethi_1728030332135_1728030349133.jfif,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
"Who is Shailaja Paik, the Dalit Professor from the University of Cincinnati Recognized as a MacArthur Fellow?",text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"Who is Shailaja Paik, the Dalit Professor from the University of Cincinnati Recognized as a MacArthur Fellow?","<div><img src=""https://static.toiimg.com/thumb/msid-113933785,width-1070,height-580,imgsize-6056,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"" style=""width: 100%;"" /><div>News News: Indian-American historian Shailaja Paik, a professor at the University of Cincinnati, has been named one of Ohio’s 10 MacArthur Fellows and is the fir</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://static.toiimg.com/thumb/msid-113933785,width-1070,height-580,imgsize-6056,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"" style=""width: 100%;"" /><div>News News: Indian-American historian Shailaja Paik, a professor at the University of Cincinnati, has been named one of Ohio’s 10 MacArthur Fellows and is the fir</div></div>",alternate,text/html,https://timesofindia.indiatimes.com/education/news/who-is-shailaja-paik-the-dalit-professor-from-the-university-of-cincinnati-recognized-as-a-macarthur-fellow/articleshow/113933803.cms,https://timesofindia.indiatimes.com/education/news/who-is-shailaja-paik-the-dalit-professor-from-the-university-of-cincinnati-recognized-as-a-macarthur-fellow/articleshow/113933803.cms,0a7463f8426829e5939f38a8bd4e4bca,False,Trisha Tewari,Trisha Tewari,Trisha Tewari,"Fri, 04 Oct 2024 08:35:00 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=8, tm_min=35, tm_sec=0, tm_wday=4, tm_yday=278, tm_isdst=0)",image,"https://static.toiimg.com/thumb/msid-113933785,width-1070,height-580,imgsize-6056,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
Tanwar asks Dalits backward classes to ensure big mandate for Congress in Haryana,text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Tanwar asks Dalits backward classes to ensure big mandate for Congress in Haryana,"<div><img src=""https://www.theweek.in/content/dam/week/wire-updates/the-week-pti-wire-updates.jpg"" style=""width: 100%;"" /><div>(This story has not been edited by THE WEEK and is auto-generated from a PTI</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://www.theweek.in/content/dam/week/wire-updates/the-week-pti-wire-updates.jpg"" style=""width: 100%;"" /><div>(This story has not been edited by THE WEEK and is auto-generated from a PTI</div></div>",alternate,text/html,https://www.theweek.in/wire-updates/national/2024/10/04/del24-cong-tanwar.html,https://www.theweek.in/wire-updates/national/2024/10/04/del24-cong-tanwar.html,9ad0715703b3a4e3fbadc35b9dd11b89,False,PTI,PTI,PTI,"Fri, 04 Oct 2024 08:28:02 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=8, tm_min=28, tm_sec=2, tm_wday=4, tm_yday=278, tm_isdst=0)",image,https://www.theweek.in/content/dam/week/wire-updates/the-week-pti-wire-updates.jpg,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
Indian-American professor Shailaja Paik receives US Genius Grant on Dalit studies,text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Indian-American professor Shailaja Paik receives US Genius Grant on Dalit studies,"<div><img src=""https://static.toiimg.com/thumb/msid-113930344,width-1070,height-580,imgsize-539665,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"" style=""width: 100%;"" /><div>US News: Historian and a professor at University of Cincinnati, Shailaja Paik has received a $800,000 ""genius"" grant from Mc Arthur Foundation for writing abou.</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://static.toiimg.com/thumb/msid-113930344,width-1070,height-580,imgsize-539665,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"" style=""width: 100%;"" /><div>US News: Historian and a professor at University of Cincinnati, Shailaja Paik has received a $800,000 ""genius"" grant from Mc Arthur Foundation for writing abou.</div></div>",alternate,text/html,https://timesofindia.indiatimes.com/world/us/indian-american-professor-shailaja-paik-receives-us-genius-grant-on-dalit-studies/articleshow/113929537.cms,https://timesofindia.indiatimes.com/world/us/indian-american-professor-shailaja-paik-receives-us-genius-grant-on-dalit-studies/articleshow/113929537.cms,348de8446b0f29af1344c8daf50c0baa,False,TOI World Desk,TOI World Desk,TOI World Desk,"Fri, 04 Oct 2024 06:51:00 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=6, tm_min=51, tm_sec=0, tm_wday=4, tm_yday=278, tm_isdst=0)",image,"https://static.toiimg.com/thumb/msid-113930344,width-1070,height-580,imgsize-539665,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
"Historian Shailaja Paik becomes first Dalit to receive a US Genius Grant, says ""It is fantastic reminder of...""",text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"Historian Shailaja Paik becomes first Dalit to receive a US Genius Grant, says ""It is fantastic reminder of...""","<div><img src=""https://cdn.dnaindia.com/sites/default/files/styles/full/public/2024/10/04/2655778-shailaja-paik.png"" style=""width: 100%;"" /><div>Maharashtra-born Shailaja Paik received the coveted MacArthur Fellowship of $800,000 for her pioneering work on Dalit, gender and sexuality studies in Cincinnati, USA.</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://cdn.dnaindia.com/sites/default/files/styles/full/public/2024/10/04/2655778-shailaja-paik.png"" style=""width: 100%;"" /><div>Maharashtra-born Shailaja Paik received the coveted MacArthur Fellowship of $800,000 for her pioneering work on Dalit, gender and sexuality studies in Cincinnati, USA.</div></div>",alternate,text/html,https://www.dnaindia.com/india/report-historian-shailaja-paik-becomes-first-dalit-to-receive-a-us-genius-grant-says-it-is-fantastic-reminder-of-3111326,https://www.dnaindia.com/india/report-historian-shailaja-paik-becomes-first-dalit-to-receive-a-us-genius-grant-says-it-is-fantastic-reminder-of-3111326,e63f1a070f56242fc6eb1ddbfc690405,False,Varsha Agarwal,Varsha Agarwal,Varsha Agarwal,"Fri, 04 Oct 2024 05:59:57 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=5, tm_min=59, tm_sec=57, tm_wday=4, tm_yday=278, tm_isdst=0)",image,https://cdn.dnaindia.com/sites/default/files/styles/full/public/2024/10/04/2655778-shailaja-paik.png,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
"Jailed for ‘assaulting’ Dalit man, MLA’s son clinches vice-chairman post in cooperative bank elections",text/plain,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"Jailed for ‘assaulting’ Dalit man, MLA’s son clinches vice-chairman post in cooperative bank elections","<div><img src=""https://images.indianexpress.com/2024/10/Jyotiradityasinh-Jadeja.jpg"" style=""width: 100%;"" /><div>Also granted bail by the Gujarat High Court in the assault, kidnapping case</div></div>",text/html,,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,"<div><img src=""https://images.indianexpress.com/2024/10/Jyotiradityasinh-Jadeja.jpg"" style=""width: 100%;"" /><div>Also granted bail by the Gujarat High Court in the assault, kidnapping case</div></div>",alternate,text/html,https://indianexpress.com/article/cities/ahmedabad/jailed-for-assaulting-dalit-man-mlas-son-clinches-vice-chairman-post-in-cooperative-bank-elections-9602581/,https://indianexpress.com/article/cities/ahmedabad/jailed-for-assaulting-dalit-man-mlas-son-clinches-vice-chairman-post-in-cooperative-bank-elections-9602581/,4f680d0a019ce0bde615c2990469b9d8,False,Gopal B Kateshiya,Gopal B Kateshiya,Gopal B Kateshiya,"Fri, 04 Oct 2024 00:04:18 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=0, tm_min=4, tm_sec=18, tm_wday=4, tm_yday=278, tm_isdst=0)",image,https://images.indianexpress.com/2024/10/Jyotiradityasinh-Jadeja.jpg,https://rss.app/feeds/P8K5BBCE7t1JWZQ3.xml,Google News,Dalit ,,,,2024-10-04 11:16:56
